,mean,median,daily_std,fold_std,worst_fold,cvar_revenue,mean_regret,median_regret,cvar_regret,p_beat_reference,upside_capture,downside_exposure,max_daily_loss_vs_reference,mean_regret_vs_milp,median_info_gap_pct,selection_score
ckpt_seed0_050k,55961.465207496374,55988.80487609533,18084.29998992585,9843.17379794831,43321.409002587694,24863.131832958716,450.3689329571635,88.81378979056899,-4358.16347754493,0.5434782608695652,1196.8427279041969,746.4737949470335,17790.675694416626,701.7111784217549,-1.2131748727093898,48860.79656974975
ckpt_seed0_100k,54452.61437126446,54276.288549289646,19543.78403217945,9112.728242196636,41875.45609793056,18615.57161232015,-1058.4819032747641,-132.0780081924604,-11298.864671008258,0.43478260869565216,770.0196173277573,1828.501520602521,42630.02724829459,-807.1396578101724,-0.6167295506709988,43982.19743884332
ckpt_seed0_150k,55203.62217306692,56815.93279293451,19174.582483652364,9233.016795655441,43149.78669763627,20179.817824000296,-307.4741014722968,-16.29109567721389,-8556.710854992907,0.4891304347826087,952.9594939396004,1260.4335954118972,33081.032647122,-56.131856007705366,-1.783327851313917,46231.88982237467
ckpt_seed0_200k,55066.519677812365,53759.92145575022,19504.163522886924,10696.327469082582,43385.73870460954,21618.35630565485,-444.57659672684537,10.523321424339883,-14788.300751196191,0.5108695652173914,1935.1015543118303,2379.6781510386754,30135.90240073397,-193.234351262254,-1.1143661339691984,42213.06141849127
ckpt_seed0_250k,54388.86512678571,54972.55010783412,18572.196837737833,10238.186415059037,42938.66282835067,22000.15808551799,-1122.2311477535077,-225.70378630085088,-14071.740913581252,0.4673913043478261,1513.0144906185596,2635.2456383720673,28239.410357913497,-870.8889022889163,0.003899053487085131,41953.34367552719
ckpt_seed0_300k,53685.269726249266,54967.79532245025,19149.104605664448,8020.44650980835,42031.101132458396,17204.59984677351,-1825.8265482899424,-140.25743509460517,-14573.257520154968,0.45652173913043476,522.4443978358386,2348.2709461257814,42550.597384628214,-1574.4843028253508,-0.16729022289989579,41931.961074195126
ckpt_seed0_best,55066.519677812365,53759.92145575022,19504.163522886924,10696.327469082582,43385.73870460954,21618.35630565485,-444.57659672684537,10.523321424339883,-14788.300751196191,0.5108695652173914,1935.1015543118303,2379.6781510386754,30135.90240073397,-193.234351262254,-1.1143661339691984,42213.06141849127
ckpt_seed1_050k,54042.63260487203,56135.5842099929,19791.110281999572,7734.285623406284,42368.737046458074,15504.460993842822,-1468.4636696671864,-390.52904775028037,-12814.873241342768,0.40217391304347827,521.1573572802903,1989.6210269474766,45578.70990996536,-1217.1214242025949,-0.5755101690426614,43400.93725508071
ckpt_seed1_100k,53451.31210218013,53352.22317398543,19091.72615392753,8831.39936093621,40484.87945119302,21338.244835574875,-2059.784172359089,-1106.969538727948,-11298.240048804848,0.32608695652173914,911.1717520239627,2970.9559243830513,19970.4518020497,-1808.4419268944976,1.4607773633689165,42871.54635421983
ckpt_seed1_150k,54124.45147144024,54673.2137341005,20242.03580170935,8142.768264138814,41888.38300482535,16461.689623263315,-1386.644803098971,-403.11660705507893,-13496.09633206238,0.391304347826087,920.7399391621698,2307.3847422611407,43538.81893980352,-1135.3025576343796,-0.6359642949878062,42958.357972564896
ckpt_seed1_200k,54779.82086957648,56086.33805123464,18246.548462784423,8458.251342415226,42510.88039991461,21249.286946472508,-731.2754049627272,-112.83948857140058,-6373.718506690298,0.4673913043478261,419.31668600226095,1150.592090964988,11119.683393037478,-479.9331594981358,-1.1482064424051937,47181.017093783026
