controller,split,period,n_days,mean_eur_per_day,median_eur_per_day,paired_mean_vs_rule_based,paired_ci95_low,paired_ci95_high,p_outperform_rule_based,median_info_gap_pct,provenance_tag
ensemble_mean,validation,2025-11-01..2026-01-31,92,55635.24,56916.34,124.14,-177.68,456.91,0.8086,-1.364,robust-rl-final
gate_c_r0.1,validation,2025-11-01..2026-01-31,92,55538.42,56988.47,27.33,-11.7,70.86,0.9122,-1.433,robust-rl-final
gate_a_q80,validation,2025-11-01..2026-01-31,92,55615.76,56830.89,104.67,-46.71,282.76,0.9252,-1.365,robust-rl-final
ckpt_seed0_best,validation,2025-11-01..2026-01-31,92,55066.52,53759.92,-444.58,-2544.56,1475.82,0.3236,-1.114,robust-rl-final
ckpt_seed1_best,validation,2025-11-01..2026-01-31,92,54779.82,56086.34,-731.28,-1401.24,-72.33,0.0098,-1.148,robust-rl-final
ckpt_seed2_best,validation,2025-11-01..2026-01-31,92,55109.63,55486.39,-401.47,-1408.15,496.04,0.2474,-1.705,robust-rl-final
ckpt_seed3_best,validation,2025-11-01..2026-01-31,92,54304.69,55799.13,-1206.41,-2120.71,-336.97,0.0008,-0.368,robust-rl-final
ckpt_seed4_best,validation,2025-11-01..2026-01-31,92,54395.89,54082.94,-1115.21,-2148.06,24.93,0.028,-0.46,robust-rl-final
baseline_rule_based,validation,2025-11-01..2026-01-31,92,55511.1,57000.89,,,,,-1.356,robust-rl-final
baseline_milp_info,validation,2025-11-01..2026-01-31,92,55259.75,57892.19,-251.34,-1075.83,466.92,0.2484,0.0,robust-rl-final
baseline_do_nothing,validation,2025-11-01..2026-01-31,92,52726.36,55314.72,-2784.74,-3453.62,-2147.61,0.0,3.588,robust-rl-final
baseline_do_nothing,test_reused,2026-02-01..2026-05-09,98,42511.99,41462.3,-4338.05,-7350.09,475.19,0.0404,13.678,robust-rl-final
baseline_rule_based,test_reused,2026-02-01..2026-05-09,98,46850.05,48464.28,,,,,0.646,robust-rl-final
baseline_milp_info,test_reused,2026-02-01..2026-05-09,98,47598.58,49293.8,748.53,-558.92,2403.58,0.8804,0.0,robust-rl-final
baseline_milp_perfect,test_reused,2026-02-01..2026-05-09,98,52007.25,52572.99,5157.2,3789.33,7475.33,1.0,-6.425,robust-rl-final
sac_hybrid_seed0_best,test_reused,2026-02-01..2026-05-09,98,40735.72,47589.86,-6114.32,-18984.23,1061.69,0.1522,0.664,robust-rl-final
sac_hybrid_seed1_best,test_reused,2026-02-01..2026-05-09,98,46974.87,47804.22,124.82,-521.99,979.23,0.6594,-0.363,robust-rl-final
sac_hybrid_seed2_best,test_reused,2026-02-01..2026-05-09,98,48103.65,48099.31,1253.61,-1141.37,4764.48,0.7858,-0.259,robust-rl-final
sac_hybrid_seed3_best,test_reused,2026-02-01..2026-05-09,98,43783.11,48659.86,-3066.94,-12849.21,3146.72,0.3108,0.401,robust-rl-final
sac_hybrid_seed4_best,test_reused,2026-02-01..2026-05-09,98,46139.39,48487.53,-710.66,-1820.77,909.39,0.2426,0.02,robust-rl-final
sac_hybrid_pooled_5_seeds,test_reused,2026-02-01..2026-05-09,490,45147.35,48174.08,,,,,0.066,robust-rl-final
ensemble_deployment_gate_c_r0.1,test_reused,2026-02-01..2026-05-09,98,46767.49,48517.08,-82.55,-154.62,-31.82,0.0014,0.581,robust-rl-final
